timestamp,value,is_anomaly
1748703960,78.3,0
1748704080,54.2,0
1748704200,38.3,0
1748704320,13.1,0
1748704440,30.1,0
1748704560,16.8,0
1748704680,11.9,0
1748704800,13.7,0
1748704920,24.7,0
1748705040,16.2,0
1748705160,12.2,0
1748705280,16.0,0
1748705400,12.6,0
1748705520,12.8,0
1748705640,13.3,0
1748705760,15.6,0
1748705880,13.5,0
1748706000,12.5,0
1748706120,14.0,0
1748706240,13.9,0
1748706360,14.4,0
1748706480,13.2,0
1748706600,14.9,0
1748706720,13.2,0
1748706840,11.2,0
1748706960,16.7,0
1748707080,13.5,0
1748707200,12.0,0
1748707320,13.0,0
1748707440,11.4,0
1748707560,13.2,0
1748707680,11.1,0
1748707800,12.2,0
1748707920,12.4,0
1748708040,14.2,0
1748708160,14.1,0
1748708280,13.5,0
1748708400,16.1,0
1748708520,14.2,0
1748708640,15.6,0
1748708760,13.7,0
1748708880,14.1,0
1748709000,11.3,0
1748709120,12.9,0
1748709240,11.4,0
1748709360,15.0,0
1748709480,13.8,0
1748709600,10.7,0
1748709720,13.3,0
1748709840,13.6,0
1748709960,13.2,0
1748710080,15.5,0
1748710200,12.9,0
1748710320,14.3,0
1748710440,13.0,0
1748710560,14.6,0
1748710680,13.1,0
1748710800,9.55,0
1748710920,12.9,0
1748711040,15.9,0
1748711160,12.2,0
1748711280,12.1,0
1748711400,14.0,0
1748711520,14.9,0
1748711640,12.1,0
1748711760,16.2,0
1748711880,12.5,0
1748712000,11.4,0
1748712120,12.1,0
1748712240,11.4,0
1748712360,14.5,0
1748712480,15.0,0
1748712600,14.8,0
1748712720,10.2,0
1748712840,14.4,0
1748712960,12.6,0
1748713080,12.7,0
1748713200,12.8,0
1748713320,14.2,0
1748713440,12.5,0
1748713560,13.8,0
1748713680,12.5,0
1748713800,14.4,0
1748713920,13.2,0
1748714040,12.6,0
1748714160,13.1,0
1748714280,11.3,0
1748714400,12.4,0
1748714520,13.1,0
1748714640,13.9,0
1748714760,13.9,0
1748714880,14.3,0
1748715000,13.0,0
1748715120,12.5,0
1748715240,13.2,0
1748715360,13.3,0
1748715480,14.0,0
1748715600,12.1,0
1748715720,12.3,0
1748715840,15.3,0
1748715960,15.6,0
1748716080,12.0,0
1748716200,14.4,0
1748716320,11.4,0
1748716440,11.9,0
1748716560,12.5,0
1748716680,11.9,0
1748716800,12.9,0
1748716920,12.9,0
1748717040,13.3,0
1748717160,11.5,0
1748717280,12.7,0
1748717400,13.3,0
1748717520,10.3,0
1748717640,15.0,0
1748717760,15.2,0
1748717880,13.1,0
1748718000,13.0,0
1748718120,12.5,0
1748718240,17.7,0
1748718360,12.5,0
1748718480,12.1,0
1748718600,16.1,0
1748718720,13.3,0
1748718840,13.3,0
1748718960,16.0,0
1748719080,14.0,0
1748719200,13.9,0
1748719320,13.3,0
1748719440,12.1,0
1748719560,16.3,0
1748719680,12.3,0
1748719800,13.0,0
1748719920,12.3,0
1748720040,13.3,0
1748720160,13.8,0
1748720280,13.6,0
1748720400,12.3,0
1748720520,13.3,0
1748720640,16.0,0
1748720760,15.9,0
1748720880,12.9,0
1748721000,12.1,0
1748721120,11.6,0
1748721240,12.7,0
1748721360,13.8,0
1748721480,13.4,0
1748721600,11.7,0
1748721720,13.0,0
1748721840,12.5,0
1748721960,13.7,0
1748722080,14.8,0
1748722200,13.1,0
1748722320,14.5,0
1748722440,11.9,0
1748722560,14.3,0
1748722680,13.2,0
1748722800,12.0,0
1748722920,13.7,0
1748723040,13.9,0
1748723160,11.9,0
1748723280,12.7,0
1748723400,11.0,0
1748723520,13.6,0
1748723640,12.6,0
1748723760,16.9,0
1748723880,14.9,0
1748724000,11.7,0
1748724120,18.0,0
1748724240,14.7,0
1748724360,12.3,0
1748724480,15.6,0
1748724600,12.7,0
1748724720,14.0,0
1748724840,13.2,0
1748724960,11.9,0
1748725080,32.7,0
1748725200,15.1,0
1748725320,10.8,0
1748725440,11.0,0
1748725560,13.4,0
1748725680,12.4,0
1748725800,12.1,0
1748725920,13.5,0
1748726040,11.4,0
1748726160,17.3,0
1748726280,13.4,0
1748726400,13.5,0
1748726520,14.8,0
1748726640,11.1,0
1748726760,16.0,0
1748726880,16.9,0
1748727000,11.8,0
1748727120,8.8,0
1748727240,13.5,0
1748727360,14.0,0
1748727480,13.3,0
1748727600,16.4,0
1748727720,13.5,0
1748727840,15.1,0
1748727960,9.83,0
1748728080,11.5,0
1748728200,12.1,0
1748728320,13.5,0
1748728440,13.9,0
1748728560,12.4,0
1748728680,13.4,0
1748728800,11.4,0
1748728920,14.8,0
1748729040,12.7,0
1748729160,15.2,0
1748729280,12.5,0
1748729400,11.3,0
1748729520,13.2,0
1748729640,14.5,0
1748729760,12.8,0
1748729880,10.9,0
1748730000,14.3,0
1748730120,12.3,0
1748730240,12.2,0
1748730360,17.5,0
1748730480,11.5,0
1748730600,14.0,0
1748730720,16.9,0
1748730840,16.0,0
1748730960,12.8,0
1748731080,13.1,0
1748731200,11.5,0
1748731320,13.3,0
1748731440,14.4,0
1748731560,14.6,0
1748731680,13.8,0
1748731800,13.8,0
1748731920,14.7,0
1748732040,11.7,0
1748732160,15.1,0
1748732280,10.7,0
1748732400,14.5,0
1748732520,11.1,0
1748732640,13.0,0
1748732760,12.2,0
1748732880,13.6,0
1748733000,13.5,0
1748733120,14.7,0
1748733240,9.52,0
1748733360,10.5,0
1748733480,13.9,0
1748733600,11.7,0
1748733720,11.5,0
1748733840,11.8,0
1748733960,14.2,0
1748734080,12.8,0
1748734200,15.7,0
1748734320,12.4,0
1748734440,10.6,0
1748734560,20.6,0
1748734680,13.7,0
1748734800,12.1,0
1748734920,10.9,0
