timestamp,value,is_anomaly
1748703960,1.56,0
1748704080,1.03,0
1748704200,1.8,0
1748704320,0.942,0
1748704440,1.11,0
1748704560,1,0
1748704680,1,0
1748704800,1.32,0
1748704920,1.62,0
1748705040,1.17,0
1748705160,0.907,0
1748705280,1.23,0
1748705400,1.17,0
1748705520,1.18,0
1748705640,1.09,0
1748705760,1.02,0
1748705880,0.904,0
1748706000,1.26,0
1748706120,1.02,0
1748706240,1.01,0
1748706360,1.43,0
1748706480,0.956,0
1748706600,1.07,0
1748706720,1.08,0
1748706840,0.953,0
1748706960,1.42,0
1748707080,1.11,0
1748707200,0.966,0
1748707320,0.876,0
1748707440,0.978,0
1748707560,0.951,0
1748707680,1.01,0
1748707800,0.962,0
1748707920,0.942,0
1748708040,1.12,0
1748708160,1.22,0
1748708280,1.13,0
1748708400,1.18,0
1748708520,1.18,0
1748708640,1.05,0
1748708760,1.01,0
1748708880,1.09,0
1748709000,1.03,0
1748709120,1.06,0
1748709240,0.997,0
1748709360,0.911,0
1748709480,1.16,0
1748709600,1.03,0
1748709720,1.02,0
1748709840,1.06,0
1748709960,1.74,0
1748710080,1.04,0
1748710200,1.02,0
1748710320,1.05,0
1748710440,1.02,0
1748710560,1.29,0
1748710680,0.955,0
1748710800,1.14,0
1748710920,0.887,0
1748711040,1.25,0
1748711160,0.911,0
1748711280,1.47,0
1748711400,1.13,0
1748711520,1.05,0
1748711640,1.15,0
1748711760,1.12,0
1748711880,0.958,0
1748712000,1.06,0
1748712120,1.09,0
1748712240,1.02,0
1748712360,1.18,0
1748712480,1.12,0
1748712600,0.967,0
1748712720,1.29,0
1748712840,1.21,0
1748712960,1.02,0
1748713080,0.959,0
1748713200,1.06,0
1748713320,1.08,0
1748713440,1.05,0
1748713560,0.908,0
1748713680,1.16,0
1748713800,0.975,0
1748713920,1.11,0
1748714040,0.919,0
1748714160,0.959,0
1748714280,1.05,0
1748714400,1.03,0
1748714520,1.16,0
1748714640,1.05,0
1748714760,1.11,0
1748714880,1,0
1748715000,0.869,0
1748715120,0.798,0
1748715240,0.904,0
1748715360,0.877,0
1748715480,0.962,0
1748715600,1.1,0
1748715720,1.13,0
1748715840,1.03,0
1748715960,1.15,0
1748716080,1.1,0
1748716200,0.994,0
1748716320,0.965,0
1748716440,1.06,0
1748716560,1.01,0
1748716680,1,0
1748716800,1.62,0
1748716920,0.892,0
1748717040,1.05,0
1748717160,0.981,0
1748717280,1.22,0
1748717400,1.08,0
1748717520,1.1,0
1748717640,1.19,0
1748717760,0.917,0
1748717880,1.08,0
1748718000,0.842,0
1748718120,0.952,0
1748718240,1.15,0
1748718360,1.07,0
1748718480,1.02,0
1748718600,1.04,0
1748718720,0.881,0
1748718840,0.886,0
1748718960,0.917,0
1748719080,1.04,0
1748719200,1.18,0
1748719320,1.2,0
1748719440,1.17,0
1748719560,1.02,0
1748719680,1.01,0
1748719800,1,0
1748719920,1.13,0
1748720040,1.77,0
1748720160,1.03,0
1748720280,1.11,0
1748720400,1.05,0
1748720520,1.01,0
1748720640,1.17,0
1748720760,1.04,0
1748720880,1.08,0
1748721000,1.15,0
1748721120,1.07,0
1748721240,0.95,0
1748721360,1.05,0
1748721480,1.22,0
1748721600,1.04,0
1748721720,0.992,0
1748721840,1.08,0
1748721960,0.944,0
