timestamp,value,is_anomaly
1748703960,586001,0
1748704080,338330,0
1748704200,1628570,0
1748704320,249583,0
1748704440,329318,0
1748704560,245503,0
1748704680,248764,0
1748704800,86016,0
1748704920,211081,0
1748705040,145317,0
1748705160,87839,0
1748705280,128397,0
1748705400,113116,0
1748705520,106869,0
1748705640,116116,0
1748705760,130392,0
1748705880,126622,0
1748706000,105894,0
1748706120,122382,0
1748706240,115789,0
1748706360,117886,0
1748706480,113620,0
1748706600,138113,0
1748706720,121309,0
1748706840,99487,0
1748706960,144265,0
1748707080,114107,0
1748707200,100107,0
1748707320,109079,0
1748707440,100100,0
1748707560,105808,0
1748707680,100139,0
1748707800,98787,0
1748707920,93116,0
1748708040,132437,0
1748708160,125884,0
1748708280,105950,0
1748708400,137079,0
1748708520,139537,0
1748708640,138436,0
1748708760,109219,0
1748708880,117965,0
1748709000,106501,0
1748709120,104388,0
1748709240,109028,0
1748709360,139435,0
1748709480,130755,0
1748709600,98471,0
1748709720,104799,0
1748709840,129161,0
1748709960,114953,0
1748710080,146091,0
1748710200,124245,0
1748710320,129442,0
1748710440,127787,0
1748710560,124518,0
1748710680,113439,0
1748710800,83634,0
1748710920,113987,0
1748711040,144945,0
1748711160,108503,0
1748711280,114134,0
1748711400,122061,0
1748711520,134349,0
1748711640,107861,0
1748711760,134631,0
1748711880,121114,0
1748712000,109821,0
1748712120,102096,0
1748712240,110423,0
1748712360,153463,0
1748712480,141731,0
1748712600,137070,0
1748712720,98857,0
1748712840,120430,0
1748712960,108258,0
1748713080,113119,0
1748713200,124215,0
1748713320,114891,0
1748713440,122061,0
1748713560,115788,0
1748713680,119603,0
1748713800,132992,0
1748713920,104858,0
1748714040,100300,0
1748714160,105473,0
1748714280,104031,0
1748714400,101466,0
1748714520,148012,0
1748714640,125346,0
1748714760,128887,0
1748714880,131072,0
1748715000,119483,0
1748715120,122100,0
1748715240,126212,0
1748715360,111604,0
1748715480,125611,0
1748715600,102400,0
1748715720,110592,0
1748715840,148548,0
1748715960,162639,0
1748716080,123454,0
1748716200,113898,0
1748716320,113714,0
1748716440,129971,0
1748716560,109500,0
1748716680,128623,0
1748716800,108961,0
1748716920,112373,0
1748717040,124036,0
1748717160,114281,0
1748717280,119338,0
1748717400,115515,0
1748717520,98850,0
1748717640,132437,0
1748717760,155825,0
1748717880,127593,0
1748718000,109605,0
1748718120,128900,0
1748718240,193877,0
1748718360,120149,0
1748718480,116607,0
1748718600,146912,0
1748718720,108423,0
1748718840,129895,0
1748718960,1186692,0
1748719080,120695,0
1748719200,124245,0
1748719320,112496,0
1748719440,104101,0
1748719560,170223,0
1748719680,121601,0
1748719800,104474,0
1748719920,115242,0
1748720040,119876,0
1748720160,111957,0
1748720280,124436,0
1748720400,119534,0
1748720520,118992,0
1748720640,125884,0
1748720760,148548,0
1748720880,113876,0
1748721000,111411,0
1748721120,114549,0
1748721240,118929,0
1748721360,114337,0
1748721480,122872,0
1748721600,111677,0
1748721720,110865,0
1748721840,118582,0
1748721960,154182,0
1748722080,130023,0
1748722200,100215,0
1748722320,120695,0
1748722440,110319,0
1748722560,137426,0
1748722680,124617,0
1748722800,109126,0
1748722920,117153,0
1748723040,132710,0
1748723160,109765,0
1748723280,102833,0
1748723400,116225,0
1748723520,101934,0
1748723640,120695,0
1748723760,166298,0
1748723880,132164,0
1748724000,112505,0
1748724120,162777,0
1748724240,129275,0
1748724360,101854,0
1748724480,144725,0
1748724600,98031,0
1748724720,107862,0
1748724840,111157,0
1748724960,112521,0
1748725080,318396,0
1748725200,143360,0
1748725320,107796,0
1748725440,100883,0
1748725560,139452,0
1748725680,117973,0
1748725800,116326,0
1748725920,117692,0
1748726040,103842,0
1748726160,178498,0
1748726280,135466,0
1748726400,112511,0
1748726520,141995,0
1748726640,112053,0
1748726760,163830,0
1748726880,161767,0
1748727000,124510,0
1748727120,89566,0
1748727240,122053,0
1748727360,138700,0
1748727480,122927,0
1748727600,140356,0
1748727720,115234,0
1748727840,125884,0
1748727960,109401,0
1748728080,100012,0
1748728200,112777,0
1748728320,126430,0
1748728440,128614,0
1748728560,118908,0
1748728680,126708,0
1748728800,108402,0
1748728920,125611,0
1748729040,132992,0
1748729160,165343,0
1748729280,109240,0
1748729400,110803,0
1748729520,116873,0
1748729640,129707,0
1748729760,146604,0
1748729880,91987,0
1748730000,114952,0
1748730120,132992,0
1748730240,117957,0
1748730360,193778,0
1748730480,116551,0
1748730600,107769,0
1748730720,143643,0
1748730840,132992,0
1748730960,133081,0
1748731080,99843,0
1748731200,104858,0
1748731320,116599,0
1748731440,134076,0
1748731560,143581,0
1748731680,137687,0
1748731800,132173,0
1748731920,142804,0
1748732040,110550,0
1748732160,156778,0
1748732280,112149,0
1748732400,117419,0
1748732520,96393,0
1748732640,115363,0
1748732760,126450,0
1748732880,115500,0
1748733000,133812,0
1748733120,125884,0
1748733240,101242,0
1748733360,120124,0
1748733480,124791,0
1748733600,114415,0
1748733720,104449,0
1748733840,113995,0
1748733960,128350,0
1748734080,140912,0
1748734200,135714,0
1748734320,107924,0
1748734440,89160,0
1748734560,208623,0
1748734680,140083,0
1748734800,119645,0
1748734920,98474,0
1748735040,117426,0
1748735160,149094,0
1748735280,136524,0
1748735400,98023,0
1748735520,96078,0
1748735640,129442,0
1748735760,170655,0
1748735880,111394,0
1748736000,108386,0
1748736120,139528,0
1748736240,123145,0
1748736360,92310,0
1748736480,85666,0
1748736600,145818,0
1748736720,128350,0
1748736840,82674,0
1748736960,96505,0
1748737080,117419,0
1748737200,138718,0
1748737320,126430,0
1748737440,99212,0
1748737560,99214,0
1748737680,151006,0
1748737800,126165,0
1748737920,103827,0
1748738040,101252,0
1748738160,126430,0
1748738280,121242,0
1748738400,100359,0
1748738520,91999,0
1748738640,118511,0
1748738760,161929,0
1748738880,106854,0
1748739000,104771,0
1748739120,151542,0
1748739240,113876,0
1748739360,92641,0
1748739480,108835,0
1748739600,142258,0
1748739720,151006,0
1748739840,104493,0
1748739960,102713,0
1748740080,127795,0
1748740200,165751,0
1748740320,99602,0
1748740440,95346,0
1748740560,128887,0
1748740680,157286,0
1748740800,96075,0
1748740920,103852,0
1748741040,127795,0
1748741160,144725,0
1748741280,129828,0
1748741400,113270,0
1748741520,127795,0
1748741640,138718,0
1748741760,104107,0
1748741880,94183,0
1748742000,129434,0
1748742120,115780,0
1748742240,98392,0
1748742360,106318,0
1748742480,114953,0
1748742600,117692,0
1748742720,100749,0
1748742840,91945,0
1748742960,101588,0
1748743080,110039,0
1748743200,108478,0
1748743320,96236,0
1748743440,151006,0
1748743560,132710,0
1748743680,121609,0
1748743800,111201,0
1748743920,120969,0
1748744040,100215,0
1748744160,120097,0
1748744280,105430,0
1748744400,130253,0
1748744520,149904,0
1748744640,114714,0
1748744760,143633,0
1748744880,127249,0
1748745000,99293,0
1748745120,97180,0
1748745240,146637,0
1748745360,134895,0
1748745480,108261,0
1748745600,118934,0
1748745720,110039,0
1748745840,125329,0
1748745960,88456,0
1748746080,100543,0
1748746200,110858,0
1748746320,146627,0
1748746440,95367,0
1748746560,129161,0
1748746680,166298,0
1748746800,112138,0
1748746920,121227,0
1748747040,130517,0
1748747160,101847,0
1748747280,95066,0
1748747400,101292,0
1748747520,134085,0
1748747640,162475,0
1748747760,107652,0
1748747880,125192,0
1748748000,147193,0
1748748120,86083,0
1748748240,94930,0
1748748360,150733,0
1748748480,136260,0
1748748600,119197,0
1748748720,102722,0
1748748840,127514,0
1748748960,114961,0
1748749080,120743,0
1748749200,145545,0
1748749320,125338,0
1748749440,124403,0
1748749560,110110,0
1748749680,148002,0
1748749800,142823,0
1748749920,105707,0
1748750040,119193,0
1748750160,145271,0
1748750280,131446,0
1748750400,106162,0
1748750520,128623,0
1748750640,132563,0
1748750760,128864,0
1748750880,103882,0
1748751000,95494,0
1748751120,127478,0
1748751240,94517,0
1748751360,120808,0
1748751480,129604,0
1748751600,114136,0
1748751720,99909,0
1748751840,141164,0
1748751960,97435,0
1748752080,111796,0
1748752200,128825,0
1748752320,128528,0
1748752440,109537,0
1748752560,112318,0
1748752680,120537,0
1748752800,120149,0
1748752920,128492,0
1748753040,131591,0
1748753160,126222,0
1748753280,126431,0
1748753400,106255,0
1748753520,121575,0
1748753640,96610,0
1748753760,109505,0
1748753880,118310,0
1748754000,110380,0
1748754120,119296,0
1748754240,110779,0
1748754360,123888,0
1748754480,133004,0
1748754600,119439,0
1748754720,117575,0
1748754840,129332,0
1748754960,100166,0
1748755080,120842,0
1748755200,121556,0
1748755320,135432,0
1748755440,104311,0
1748755560,106976,0
1748755680,122599,0
1748755800,120695,0
1748755920,122500,0
1748756040,133257,0
1748756160,157559,0
1748756280,112251,0
1748756400,111590,0
1748756520,377949,0
1748756640,125879,0
1748756760,135483,0
1748756880,143633,0
1748757000,128333,0
1748757120,130599,0
1748757240,107588,0
1748757360,124791,0
1748757480,115341,0
1748757600,142268,0
1748757720,137343,0
1748757840,110929,0
1748757960,99166,0
1748758080,127522,0
1748758200,92084,0
1748758320,105931,0
1748758440,157559,0
1748758560,131891,0
1748758680,121328,0
1748758800,136533,0
1748758920,138982,0
1748759040,109000,0
1748759160,143633,0
1748759280,128887,0
1748759400,92143,0
1748759520,136269,0
1748759640,143906,1
1748759760,1405175,1
1748759880,3710430,1
1748760000,164397,1
1748760120,175404,1
1748760240,128879,0
1748760360,166844,0
1748760480,130773,0
1748760600,178051,0
1748760720,204800,0
1748760840,134884,0
1748760960,184866,0
1748761080,144998,0
1748761200,184284,0
1748761320,186492,0
1748761440,178586,0
1748761560,112670,0
1748761680,147446,0
1748761800,150733,0
1748761920,147562,1
1748762040,547735,1
1748762160,172794,1
1748762280,133130,1
1748762400,146081,1
1748762520,154010,0
1748762640,184194,0
1748762760,176199,0
1748762880,146354,0
1748763000,146483,0
1748763120,101016,0
1748763240,161655,0
1748763360,173359,0
1748763480,145808,0
1748763600,160290,0
1748763720,106981,0
1748763840,154293,0
1748763960,144452,0
1748764080,151830,0
1748764200,149367,0
1748764320,149641,0
1748764440,133880,0
1748764560,121788,0
1748764680,166298,0
1748764800,132330,0
1748764920,151279,0
1748765040,165751,0
1748765160,137752,0
1748765280,172305,0
1748765400,183774,0
1748765520,136656,0
1748765640,140902,0
1748765760,154293,0
1748765880,111905,0
1748766000,11887957,1
1748766120,184047,1
1748766240,136831,1
1748766360,165751,1
1748766480,126761,1
1748766600,142902,0
1748766720,169574,0
1748766840,118423,0
1748766960,137916,0
1748767080,144998,0
1748767200,128394,0
